year,sex,age,qx,lx,lx/l0,dx,ex
2011,M,0,0.004965662,100000,1,496.5662496,86.93898649
2012,M,1,0.000341036,99503.43375,0.995034338,33.93422653,86.37035535
2013,M,2,0.000180169,99469.49952,0.994694995,17.92136,85.3996502
2014,M,3,0.000136147,99451.57816,0.994515782,13.53999956,84.41494928
2015,M,4,0.000114039,99438.03816,0.994380382,11.33978773,83.42637557
2016,M,5,0.000105435,99426.69838,0.994266984,10.48307566,82.43583347
2017,M,6,7.34595E-05,99416.2153,0.994162153,7.303063729,81.4444733
2018,M,7,7.83514E-05,99408.91224,0.994089122,7.788830787,80.45041988
2019,M,8,6.56124E-05,99401.12341,0.994011234,6.521947148,79.4566846
2020,M,9,6.08208E-05,99394.60146,0.993946015,6.045258151,78.46186548
2021,M,10,6.0592E-05,99388.5562,0.993885562,6.022152825,77.46660747
2022,M,11,6.42069E-05,99382.53405,0.99382534,6.381041893,76.47127131
2023,M,12,7.03455E-05,99376.15301,0.99376153,6.990662858,75.47614951
2024,M,13,8.22045E-05,99369.16234,0.993691623,8.168594941,74.48142411
2025,M,14,9.8347E-05,99360.99375,0.993609937,9.771856871,73.48750622
2026,M,15,0.000119343,99351.22189,0.993512219,11.85687865,72.49468503
2027,M,16,0.000144475,99339.36501,0.99339365,14.35207032,71.50327812
2028,M,17,0.000174759,99325.01294,0.993250129,17.35794866,70.51353781
2029,M,18,0.000207498,99307.65499,0.99307655,20.606181,69.52577545
2030,M,19,0.000239043,99287.04881,0.992870488,23.73388416,68.54010116
2031,M,20,0.000263179,99263.31493,0.992633149,26.12400053,67.55636957
2032,M,21,0.000277924,99237.19093,0.992371909,27.58039457,66.57402203
2033,M,22,0.000287416,99209.61053,0.992096105,28.51440617,65.59239069
2034,M,23,0.000291754,99181.09613,0.991810961,28.93644196,64.61110465
2035,M,24,0.000296144,99152.15969,0.991521597,29.3633259,63.62981475
2036,M,25,0.000304547,99122.79636,0.991227964,30.1875928,62.64851581
2037,M,26,0.000317792,99092.60877,0.990926088,31.49086647,61.66744875
2038,M,27,0.000336497,99061.1179,0.990611179,33.33381107,60.68689347
2039,M,28,0.000359957,99027.78409,0.990277841,35.64576343,59.70715302
2040,M,29,0.000388444,98992.13833,0.989921383,38.45287474,58.72847274
2041,M,30,0.000419925,98953.68545,0.989536855,41.553087,57.75110001
2042,M,31,0.000455072,98912.13236,0.989121324,45.01217702,56.77515126
2043,M,32,0.000494145,98867.12019,0.988671202,48.8547014,55.80077218
2044,M,33,0.000537013,98818.26549,0.988182655,53.06665806,54.8281123
2045,M,34,0.000585419,98765.19883,0.987651988,57.81899947,53.85730285
2046,M,35,0.000639718,98707.37983,0.987073798,63.14487359,52.88855752
2047,M,36,0.000701004,98644.23495,0.98644235,69.15004627,51.92209287
2048,M,37,0.00076936,98575.08491,0.985750849,75.83976722,50.95816527
2049,M,38,0.000843443,98499.24514,0.984992451,83.0785475,49.99701567
2050,M,39,0.000922265,98416.16659,0.984161666,90.76574281,49.03879885
2051,M,40,0.001005491,98325.40085,0.983254009,98.86531646,48.08360579
2052,M,41,0.001091241,98226.53553,0.982265355,107.1888009,47.13149884
2053,M,42,0.001176032,98119.34673,0.981193467,115.3914506,46.18244062
2054,M,43,0.001260405,98003.95528,0.980039553,123.5246813,45.23622787
2055,M,44,0.001344489,97880.4306,0.978804306,131.5991744,44.29268479
2056,M,45,0.001430263,97748.83143,0.977488314,139.80651,43.35164285
2057,M,46,0.001514674,97609.02492,0.976090249,147.8458439,42.41301974
